Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
HDFCAMC,HDFC AMC LTD,5491,INR,0.17331022530329288,868685,2.053459904480672,1172597793640,INR,45.23809523809524,121.38,INR,25.535215637604715,1.64203612479475,Finance,Buy
SHRIRAMFIN,SHRIRAM FINANCE LTD,616.45,INR,-0.45215987081145814,4279172,1.0149168999332152,1164662450256,INR,11.974553224553226,51.48,INR,26.10847092254175,1.59870811465482,Finance,Buy
GAIL,GAIL (INDIA) LTD,173.93,INR,0.32879556991231723,8864011,0.8088835858086089,1139793557416,INR,9.828108401329025,17.6972,INR,3.062668522476458,3.74963945774445,Utilities,Buy
BOSCHLTD,BOSCH LTD,38585,INR,-0.19399896533885153,23267,0.4289132550731477,1139566425947,INR,42.70214432605425,903.5846,INR,4.579517435309132,1.32513063665798,Producer manufacturing,Neutral
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,7821.5,INR,0.1664852404431069,673142,1.2784091664441477,1122735299536,INR,71.47197638770223,109.4345,INR,51.70664692606702,0.243326140271117,Health services,Buy
SIEMENS,SIEMENS LTD,3169,INR,0.5808233091059187,330958,0.655248064644564,1121459145150,INR,46.06499685292779,68.7941,INR,-0.28496594468530345,0.381061255596837,Producer manufacturing,Buy
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,2721.4,INR,-0.9967986030267786,666934,0.4200519253193435,1108831165815,INR,50.602078080490294,53.7804,INR,-6.440394902796506,0.530949306073449,Producer manufacturing,Neutral
SHREECEM,SHREE CEMENT LTD,30400,INR,-0.03288391976323578,34703,1.0432066663259756,1096517328311,INR,73.77186826285693,412.0812,INR,-29.266755798167775,0.361953429755533,Non-energy minerals,Neutral
INDHOTEL,THE INDIAN HOTELS CO. LTD,774.35,INR,0.5910626136658962,2975752,1.4255511872056104,1095686975188.9999,INR,56.363914284050544,13.7384,INR,52.05755395683453,0.292302695680416,Consumer services,Buy
ABB,ABB INDIA LTD,5030,INR,-1.1205032435620208,237754,0.4543039101580645,1078020306195,INR,59.37394133193575,84.7173,INR,11.900506817668468,0.868061015883,Producer manufacturing,Buy
CGPOWER,CG POWER AND IND SOL LTD,665.95,INR,-0.6711909911253635,1517335,0.6352727020912217,1055343070220.9999,INR,101.6252098275599,6.553,INR,-31.65272533845095,0.193957478552779,Producer manufacturing,Buy
CUMMINSIND,CUMMINS INDIA LTD,3784.5,INR,-0.20041665567890904,373609,0.4123612687750378,1051156319824.9999,INR,48.993525786168405,77.2449,INR,17.040919297799036,1.35810445537374,Producer manufacturing,Buy
POLYCAB,POLYCAB INDIA LTD,6970,INR,0.057421762848119444,143368,0.4471915467547358,1048110157454,INR,47.48237804284041,146.7913,INR,24.176520448889207,0.50262802653876,Producer manufacturing,Buy
TATACONSUM,TATA CONSUMER PRODUCT LTD,1051.2,INR,-0.463971214847066,767620,1.024343128392647,1045491934459,INR,78.13580109265247,13.4535,INR,13.794765956726952,0.780843310775638,Consumer non-durables,Buy
DRREDDY,DR. REDDY S LABORATORIES,1260.4,INR,0.5584809318653263,1603933,1.0752545372575464,1044841640514,INR,18.513731066169992,68.0792,INR,2.1320771700321024,0.638697058001677,Health technology,Neutral
BSE,BSE LTD,2482,INR,-0.5768306361160107,2747105,0.5684978786547822,1037465036955,INR,63.270326420842,39.2285,INR,165.21154184188106,0.240345697804839,Finance,Neutral
UNIONBANK,UNION BANK OF INDIA,134.84,INR,-0.6264278870955814,5981897,0.5693753555444817,1035880238813,INR,5.472313761140241,24.6404,INR,28.057292235093563,3.50036845983788,Finance,Buy
RECLTD,REC LTD,381.55,INR,-1.4464677773472727,3287588,0.5580630706933348,1019452702410,INR,5.960368354044787,64.0145,INR,15.421092393489557,4.33940333204184,Finance,Strong buy
MANKIND,MANKIND PHARMA LTD,2472.6,INR,0.2676399026763953,1001061,1.8999524376555597,1017582757202,INR,53.174193548387095,46.5,INR,-4.940439563584622,0,Health technology,Buy
JINDALSTEL,JINDAL STEEL & POWER LTD,975.4,INR,-2.1026747628845333,1846204,1.0606264898331517,1014885710183,INR,33.31466200338816,29.2784,INR,-47.39758317493056,0.201025228666198,Non-energy minerals,Buy
MUTHOOTFIN,MUTHOOT FINANCE LTD,2757.4,INR,9.860950635483485,8765092,21.224730365211663,1007986974464,INR,17.986367046084602,153.305,INR,37.802371058311074,1.03554714726675,Finance,Buy
SWIGGY,SWIGGY LTD,398.4,INR,-0.4995004995004995,7189281,0.5743062671028476,998331580723,INR,,-15.9401,INR,,0,Transportation,Buy
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,988.8,INR,0.020230629172560365,717164,0.7665253995895912,995215734110,INR,21.76022816549921,45.4407,INR,9.463219334992269,1.11217835296497,Health technology,Neutral
CANBK,CANARA BANK,109.26,INR,0.2477291494632629,10879799,0.542283619343301,987793947727,INR,5.3570640582481435,20.3955,INR,18.53576036544966,3.67309458218549,Finance,Buy
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,93.1,INR,-0.31052575222187195,14771758,1.0425297493370052,986172994517,INR,23.39607468650265,3.9793,INR,-13.280449800597127,0.909674657534247,Producer manufacturing,Buy
DIXON,DIXON TECHNO (INDIA) LTD,16191,INR,1.498244734202608,204312,0.7217255964748795,964917804306,INR,78.12270055280821,207.2509,INR,186.29532011062207,0.0313508124563048,Electronic technology,Buy
HEROMOTOCO,HERO MOTOCORP LTD,4708.1,INR,-1.2707865875395696,373862,0.39904160508946634,954353662973,INR,18.714870612553167,251.57,INR,23.469938650306744,3.45901072293324,Consumer durables,Buy
UNITDSPR,UNITED SPIRITS LTD,1319.3,INR,1.0029092022661086,1527475,1.436724309020671,950502180022,INR,61.874188056635546,21.3223,INR,6.95858059402762,0.68870523415978,Consumer non-durables,Buy
ICICIGI,ICICI LOMBARD GIC LTD,1898.3,INR,-0.7528624457573112,232464,0.5682810466399977,950196947764,INR,35.49551234106208,53.48,INR,25.598872710192577,0.653919594046716,Finance,Buy
ADANIENSOL,ADANI ENERGY SOLUTION LTD,775.8,INR,-1.3353681800839374,6581262,2.0898805951181556,944628537499,INR,38.89033706963967,19.9484,INR,1509.001451847072,0,Utilities,Strong buy
IDBI,IDBI BANK LTD,87.35,INR,-0.5578324225865312,2284760,0.5365418446090503,944383517540,INR,11.86562703760052,7.3616,INR,25.779114270092947,2.39098257998406,Finance,Neutral
POWERINDIA,HITACHI ENERGY INDIA LTD,20395,INR,-3.4327651515151514,120422,0.7427670543070768,942197373301,INR,176.52751042113863,115.5344,INR,185.03083830858048,0.0189227290359816,Electronic technology,Neutral
GMRAIRPORT,GMR AIRPORTS LTD,90.77,INR,2.3914269599548676,7283392,0.6849765859803657,936475570496,INR,,-0.5004,INR,54.99595287345985,0,Transportation,Buy
JSWENERGY,JSW ENERGY LTD,529.15,INR,-1.0934579439252379,1062841,0.22882932436722134,934706601712,INR,42.571421675503025,12.4297,INR,6.150561509885137,0.37397157816006,Utilities,Buy
MARICO,MARICO LTD,710.55,INR,0.0492818924246563,1469217,0.6815091886247358,922234638847,INR,55.18277766128468,12.8763,INR,9.686350006814775,0.492541514213341,Consumer non-durables,Buy
HAVELLS,HAVELLS INDIA LTD,1479.2,INR,0.9072924483252578,861774,1.0992807517378411,921178039748,INR,65.69171259431637,22.5173,INR,1.534930490735851,0.680874242527405,Producer manufacturing,Buy
LUPIN,LUPIN LTD,1961.6,INR,-1.4172278620966954,859101,0.5809847975032705,908561735608,INR,24.271219995050732,80.82,INR,63.239749545546346,0.603257590991353,Health technology,Buy
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,112.72,INR,3.831982313927779,24782953,6.374023512046034,904891564044,INR,40.83614099916676,2.7603,INR,,0,Finance,Sell
INDIANB,INDIAN BANK,668.25,INR,-0.36528999552706803,538598,0.3100158456329478,902937277314,INR,8.207100170221336,81.4234,INR,15.997167861208109,2.42410680987544,Finance,Strong buy
ICICIPRULI,ICICI PRU LIFE INS CO LTD,626.6,INR,0.8530500563335054,1392104,1.8617238381812102,898216916748,INR,72.10586881472958,8.69,INR,44.592346089850246,0.136876006441224,Finance,Buy
DABUR,DABUR INDIA LTD,500.9,INR,-0.5163853028798456,1202134,0.5745258312574406,892786965721,INR,49.99001996007984,10.02,INR,-5.437798456050283,1.58935134598192,Consumer non-durables,Neutral
INDUSTOWER,INDUS TOWERS LTD,333,INR,-1.2748295286095497,8393964,0.990415745605964,889430068331,INR,9.048445868283974,36.8019,INR,49.930334881447095,0,Finance,Neutral
HINDPETRO,HINDUSTAN PETROLEUM CORP,394.35,INR,-4.074434444174167,6536476,1.047416216690532,874960641990,INR,8.216309692474374,47.996,INR,3.3356514025754307,5.1070014591464,Energy minerals,Buy
NAUKRI,INFO EDGE (I) LTD,1365.4,INR,2.979108530055057,6756189,3.3291034141572617,859304767761,INR,86.47245091830274,15.79,INR,57.45597415288884,0.452403393025448,Technology services,Buy
NHPC,NHPC LTD,82.32,INR,-3.2781106802960944,13988133,1.74916878071528,854430582800,INR,27.033594955830676,3.0451,INR,-15.413888888888888,2.2337173759699,Utilities,Neutral
POLICYBZR,PB FINTECH LTD,1834.2,INR,-0.9611231101511855,661217,0.5508591457220747,851256379164,INR,225.60885608856086,8.13,INR,168.37883339385337,0,Technology services,Neutral
BHARTIHEXA,BHARTI HEXACOM LTD,1700.9,INR,0.19439208294063276,323218,1.1415862503028638,848474975586,INR,61.895924308588064,27.48,INR,,0.589292554288577,Communications,Buy
NTPCGREEN,NTPC GREEN ENERGY LTD,100.8,INR,0.158982511923685,2176603,0.6094983946574792,848110135221,INR,,,,,0,Utilities,Neutral
SRF,SRF LTD,2841.9,INR,-0.4658167553936582,190742,0.491775594480435,845522083943,INR,58.87349211643358,48.2713,INR,16.46062834450379,0.266442294208386,Process industries,Neutral
WAAREEENER,WAAREE ENERGIES LTD,2882.8,INR,-2.008905809170941,2869701,1.1367507462635131,845258995200,INR,38.047373123730516,75.7687,INR,,0,Electronic technology,Neutral
SUZLON,SUZLON ENERGY LTD,60.06,INR,-0.5299768135144092,61474611,0.6460991434610246,827456576735,INR,39.34490664919751,1.5265,INR,139.45098039215685,0,Producer manufacturing,Strong buy
PERSISTENT,PERSISTENT SYSTEMS LTD,5289,INR,0.7908527870414483,506273,1.2647516427909058,820716757425,INR,54.269086013782236,97.4588,INR,28.102609534600354,0.666977923030748,Technology services,Neutral
BHEL,BHEL,221.33,INR,-1.1875530157596306,3835220,0.3693514867152859,779808050274,INR,265.92574792743,0.8323,INR,,0.111632060727841,Producer manufacturing,Neutral
SBICARD,SBI CARDS & PAY SER LTD,789.35,INR,-0.09492469307682572,363454,0.4725013604821346,751802020409,INR,39.99260287575871,19.7374,INR,-22.10970797158642,0.316415643589419,Finance,Neutral
